"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHIFT"	"ROWID"	"int"	"NO"
"dbo"	"SHIFT"	"ID"	"nvarchar"	"NO"
"dbo"	"SHIFT"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SHIFT"	"SHIFT_BEG_BEF_WIN"	"smallint"	"YES"
"dbo"	"SHIFT"	"SHIFT_BEG_AFT_WIN"	"smallint"	"YES"
"dbo"	"SHIFT"	"SHIFT_END_BEF_WIN"	"smallint"	"YES"
"dbo"	"SHIFT"	"SHIFT_END_AFT_WIN"	"smallint"	"YES"
"dbo"	"SHIFT"	"BTWN_JOB_LAG_TIME"	"smallint"	"YES"
"dbo"	"SHIFT"	"BREAKS_WINDOW"	"smallint"	"YES"
"dbo"	"SHIFT"	"INDIRECT_ID"	"nvarchar"	"YES"
