"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHIFT_DAY"	"ROWID"	"int"	"NO"
"dbo"	"SHIFT_DAY"	"SHIFT_ID"	"nvarchar"	"NO"
"dbo"	"SHIFT_DAY"	"SHIFT_CODE"	"smallint"	"NO"
"dbo"	"SHIFT_DAY"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SHIFT_DAY"	"SHIFT_START"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"SHIFT_END"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"MEAL_START"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"MEAL_END"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"MEAL_TYPE"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"MEAL_MANUAL"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK1_START"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK1_END"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK1_TYPE"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK1_MANUAL"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK2_START"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK2_END"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK2_TYPE"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK2_MANUAL"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK3_START"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK3_END"	"datetime"	"YES"
"dbo"	"SHIFT_DAY"	"BREAK3_TYPE"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"BREAK3_MANUAL"	"nchar"	"NO"
"dbo"	"SHIFT_DAY"	"PAID_BREAKS"	"nchar"	"YES"
"dbo"	"SHIFT_DAY"	"PERIODS_PER_HOUR"	"int"	"YES"
