"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHIPMENT_DIST"	"ROWID"	"int"	"NO"
"dbo"	"SHIPMENT_DIST"	"CUST_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"DIST_NO"	"smallint"	"NO"
"dbo"	"SHIPMENT_DIST"	"ENTRY_NO"	"smallint"	"NO"
"dbo"	"SHIPMENT_DIST"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"SHIPMENT_DIST"	"AMOUNT"	"decimal"	"NO"
"dbo"	"SHIPMENT_DIST"	"AMOUNT_TYPE"	"nchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"POSTING_STATUS"	"nchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"SHIPMENT_DIST"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"SHIPMENT_DIST"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"SHIPMENT_DIST"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"SHIPMENT_DIST"	"NATIVE"	"nchar"	"YES"
