"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHIPPER_INVOICE"	"ROWID"	"int"	"NO"
"dbo"	"SHIPPER_INVOICE"	"PACKLIST_ID"	"nvarchar"	"NO"
"dbo"	"SHIPPER_INVOICE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"SHIPPER_INVOICE"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_INVOICE"	"INVOICED_DATE"	"datetime"	"YES"
"dbo"	"SHIPPER_INVOICE"	"INVOICE_CANDIDATE"	"nchar"	"NO"
"dbo"	"SHIPPER_INVOICE"	"DOC_FILE_PATH"	"nvarchar"	"YES"
"dbo"	"SHIPPER_INVOICE"	"DOCUMENT_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_INVOICE"	"DISTRIBUTED_DATE"	"datetime"	"YES"
"dbo"	"SHIPPER_INVOICE"	"DOC_TOTAL_AMOUNT"	"decimal"	"YES"
