"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHIPPER_LINK"	"ROWID"	"int"	"NO"
"dbo"	"SHIPPER_LINK"	"BOL_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"TARE_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"PALLET_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"CARTON_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"CARTON_LINE_NO"	"smallint"	"YES"
"dbo"	"SHIPPER_LINK"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"CUST_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"SHIPPER_LINK"	"CUST_ORDER_DEL_NO"	"smallint"	"YES"
"dbo"	"SHIPPER_LINK"	"PACKLIST_ID"	"nvarchar"	"YES"
"dbo"	"SHIPPER_LINK"	"PACKLIST_LINE_NO"	"smallint"	"YES"
"dbo"	"SHIPPER_LINK"	"QTY"	"decimal"	"YES"
