"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SHOP_RESOURCE"	"ROWID"	"int"	"NO"
"dbo"	"SHOP_RESOURCE"	"ID"	"nvarchar"	"NO"
"dbo"	"SHOP_RESOURCE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"SCHEDULE_NORMALLY"	"nchar"	"NO"
"dbo"	"SHOP_RESOURCE"	"AUTO_REPORTING"	"nchar"	"NO"
"dbo"	"SHOP_RESOURCE"	"TYPE"	"nchar"	"NO"
"dbo"	"SHOP_RESOURCE"	"EXCLUSIVITY"	"nchar"	"NO"
"dbo"	"SHOP_RESOURCE"	"SHIFT_1_CAPACITY"	"smallint"	"NO"
"dbo"	"SHOP_RESOURCE"	"SHIFT_2_CAPACITY"	"smallint"	"NO"
"dbo"	"SHOP_RESOURCE"	"SHIFT_3_CAPACITY"	"smallint"	"NO"
"dbo"	"SHOP_RESOURCE"	"SCHEDULE_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"STATUS_RANK"	"smallint"	"NO"
"dbo"	"SHOP_RESOURCE"	"GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"AFC_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"AFB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"GRID_ROW"	"smallint"	"YES"
"dbo"	"SHOP_RESOURCE"	"GRID_COLUMN"	"smallint"	"YES"
"dbo"	"SHOP_RESOURCE"	"SCHEDULE_TYPE"	"smallint"	"YES"
"dbo"	"SHOP_RESOURCE"	"MIN_SEGMENT_SIZE"	"decimal"	"YES"
"dbo"	"SHOP_RESOURCE"	"EFFICIENCY_FACTOR"	"decimal"	"YES"
"dbo"	"SHOP_RESOURCE"	"SERVICE_BUFFER"	"int"	"YES"
"dbo"	"SHOP_RESOURCE"	"MONITOR_LOAD"	"nchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"WBS_RESOURCE_TYPE"	"nchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"COST_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"DEPARTMENT_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_1"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_2"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_3"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_4"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_5"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_6"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_7"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_8"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_9"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"USER_10"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"STATUS"	"nchar"	"YES"
"dbo"	"SHOP_RESOURCE"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"YES"
