"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SOA_CODE_LIST"	"LIST_ID"	"nvarchar"	"NO"
"dbo"	"SOA_CODE_LIST"	"AGENCY_ID"	"nvarchar"	"NO"
"dbo"	"SOA_CODE_LIST"	"CODE"	"nvarchar"	"NO"
"dbo"	"SOA_CODE_LIST"	"CODE_NAME"	"nvarchar"	"YES"
"dbo"	"SOA_CODE_LIST"	"CODE_DESC"	"nvarchar"	"YES"
"dbo"	"SOA_CODE_LIST"	"STATUS"	"nvarchar"	"NO"
"dbo"	"SOA_CODE_LIST"	"EFFECTIVE_DATE"	"datetime"	"YES"
"dbo"	"SOA_CODE_LIST"	"EXPIRATION_DATE"	"datetime"	"YES"
"dbo"	"SOA_CODE_LIST"	"READ_ONLY"	"nchar"	"NO"
"dbo"	"SOA_CODE_LIST"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"SOA_CODE_LIST"	"ROWID"	"int"	"NO"
