"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SOA_ID_MAP"	"NOUN_ID"	"nvarchar"	"NO"
"dbo"	"SOA_ID_MAP"	"SYS_KEY_ID"	"nvarchar"	"NO"
"dbo"	"SOA_ID_MAP"	"SYS_ENTITY_ID"	"nvarchar"	"NO"
"dbo"	"SOA_ID_MAP"	"SYS_AGENCY_ID"	"nvarchar"	"NO"
"dbo"	"SOA_ID_MAP"	"SYS_SCHEME_NAME"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SYS_AGENCY_NAME"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SYS_LOC_ID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SYS_VARIATION"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_KEY_ID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_ENTITY_ID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_LID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_SCHEME_NAME"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_AGENCY_NAME"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_LOC_ID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SOR_VARIATION"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"DID"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"SITE"	"nvarchar"	"YES"
"dbo"	"SOA_ID_MAP"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"SOA_ID_MAP"	"ROWID"	"int"	"NO"
