"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"TASK"	"ROWID"	"int"	"NO"
"dbo"	"TASK"	"TYPE"	"nvarchar"	"NO"
"dbo"	"TASK"	"TASK_NO"	"int"	"NO"
"dbo"	"TASK"	"SEQ_NO"	"int"	"NO"
"dbo"	"TASK"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"TASK"	"SUB_TYPE"	"nvarchar"	"NO"
"dbo"	"TASK"	"EC_ID"	"nvarchar"	"YES"
"dbo"	"TASK"	"STATUS"	"nvarchar"	"NO"
"dbo"	"TASK"	"REJECT_CODE"	"nvarchar"	"YES"
"dbo"	"TASK"	"REJ_TASK_NO"	"int"	"YES"
"dbo"	"TASK"	"REJ_SEQ_NO"	"int"	"YES"
"dbo"	"TASK"	"COMPLETED_DATE"	"datetime"	"YES"
"dbo"	"TASK"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"TASK"	"ol_entry_id"	"nvarchar"	"YES"
"dbo"	"TASK"	"STATUS_EFF_DATE"	"datetime"	"NO"
