"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"TOOLBAR"	"ROWID"	"int"	"NO"
"dbo"	"TOOLBAR"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"TOOLBAR"	"PROGRAM_ID"	"nvarchar"	"NO"
"dbo"	"TOOLBAR"	"ID"	"nvarchar"	"NO"
"dbo"	"TOOLBAR"	"BITMAP"	"nvarchar"	"YES"
"dbo"	"TOOLBAR"	"POSITION"	"int"	"YES"
"dbo"	"TOOLBAR"	"TOOLTIP"	"nvarchar"	"YES"
"dbo"	"TOOLBAR"	"EXECUTE_COMMAND"	"nvarchar"	"YES"
"dbo"	"TOOLBAR"	"USE_KEY_IN_CMD_LINE"	"nchar"	"YES"
"dbo"	"TOOLBAR"	"ADD_ENTRY_TO_TOOLBAR"	"nchar"	"YES"
"dbo"	"TOOLBAR"	"TOOLBAR_TYPE"	"nvarchar"	"YES"
