"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"TRACE_HISTORY"	"ROWID"	"int"	"NO"
"dbo"	"TRACE_HISTORY"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"TRACE_HISTORY"	"TRACE_ID"	"nvarchar"	"NO"
"dbo"	"TRACE_HISTORY"	"ORIG_TRACE_ID"	"nvarchar"	"NO"
"dbo"	"TRACE_HISTORY"	"APROPERTY_1"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"APROPERTY_2"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"APROPERTY_3"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"APROPERTY_4"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"APROPERTY_5"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"NPROPERTY_1"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"NPROPERTY_2"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"NPROPERTY_3"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"NPROPERTY_4"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"NPROPERTY_5"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"NUMBERING_ID"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"REPORTED_QTY"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"ASSIGNED_QTY"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"COMMENTS"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"EXPIRATION_DATE"	"datetime"	"YES"
"dbo"	"TRACE_HISTORY"	"HIST_COMMENTS"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"TRACE_HISTORY"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"OWNER_ID"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"LOT_ID"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"SERIAL_ID"	"nvarchar"	"YES"
"dbo"	"TRACE_HISTORY"	"COMMITTED_QTY"	"decimal"	"YES"
"dbo"	"TRACE_HISTORY"	"PRODUCTION_DATE"	"datetime"	"YES"
"dbo"	"TRACE_HISTORY"	"RECEIVE_BY_DATE"	"datetime"	"YES"
"dbo"	"TRACE_HISTORY"	"AVAILABLE_DATE"	"datetime"	"YES"
"dbo"	"TRACE_HISTORY"	"SHIP_BY_DATE"	"datetime"	"YES"
