"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"UNP_MNT_CALLS"	"ROWID"	"int"	"NO"
"dbo"	"UNP_MNT_CALLS"	"call_id"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"equip_id"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"customer_id"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"status"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"fault_type"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"fault_code"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"remedy_type"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"remedy_code"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"date_opened"	"datetime"	"YES"
"dbo"	"UNP_MNT_CALLS"	"date_closed"	"datetime"	"YES"
"dbo"	"UNP_MNT_CALLS"	"RESOURCE_SELECTED"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"workorder_base_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"workorder_lot_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"workorder_split_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"workorder_sub_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"workorder_type"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"std_repair_part_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"std_repair_lot_id"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"urgency"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"escalation"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"task_time"	"int"	"YES"
"dbo"	"UNP_MNT_CALLS"	"travel_time"	"int"	"YES"
"dbo"	"UNP_MNT_CALLS"	"requested_date"	"datetime"	"YES"
"dbo"	"UNP_MNT_CALLS"	"confirmed_date"	"datetime"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_fax"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_first_name"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_honorific"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_initial"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_last_name"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_phone"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_position"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_salutation"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_mobile"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"contact_email"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"ship_to_addr_no"	"int"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_1"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_2"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_3"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_4"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_5"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_6"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_7"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_8"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_9"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"user_10"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"CUST_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"UNP_MNT_CALLS"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"INVOICE_FLAG"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"UNP_MNT_CALLS"	"CONTACT_ID"	"nvarchar"	"YES"
"dbo"	"UNP_MNT_CALLS"	"CONTACT_PHONE_EXT"	"nvarchar"	"YES"
