"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VAT"	"ROWID"	"int"	"NO"
"dbo"	"VAT"	"CODE"	"nvarchar"	"NO"
"dbo"	"VAT"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VAT"	"TAX_PERCENT"	"decimal"	"NO"
"dbo"	"VAT"	"TAX_RCV_PERCENT"	"decimal"	"NO"
"dbo"	"VAT"	"TAX_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"VAT"	"TAX_RCV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"VAT"	"effective_date"	"datetime"	"NO"
"dbo"	"VAT"	"TYPE"	"nchar"	"NO"
"dbo"	"VAT"	"TAX_IE_PERCENT"	"decimal"	"YES"
"dbo"	"VAT"	"TAX_IE_DR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"VAT"	"TAX_IE_CR_GL_ACCT_ID"	"nvarchar"	"YES"
