"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VAT_BOOK"	"ROWID"	"int"	"NO"
"dbo"	"VAT_BOOK"	"CODE"	"nvarchar"	"NO"
"dbo"	"VAT_BOOK"	"YEAR"	"int"	"NO"
"dbo"	"VAT_BOOK"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VAT_BOOK"	"AR_INVOICES"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"AR_MEMOS"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"AP_INVOICES"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"AP_MEMOS"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"REPORT_TYPE"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"ALPHA_PREFIX"	"nvarchar"	"YES"
"dbo"	"VAT_BOOK"	"START_NUMBER"	"int"	"YES"
"dbo"	"VAT_BOOK"	"NEXT_NUMBER"	"int"	"YES"
"dbo"	"VAT_BOOK"	"ALPHA_SUFFIX"	"nvarchar"	"YES"
"dbo"	"VAT_BOOK"	"LEADING_ZEROS"	"nchar"	"NO"
"dbo"	"VAT_BOOK"	"DECIMAL_PLACES"	"smallint"	"YES"
"dbo"	"VAT_BOOK"	"CURR_POSTING_DATE"	"datetime"	"YES"
"dbo"	"VAT_BOOK"	"ENTITY_ID"	"nvarchar"	"NO"
