"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VENDOR_GROUP"	"ROWID"	"int"	"NO"
"dbo"	"VENDOR_GROUP"	"ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_GROUP"	"NAME"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_NAME"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_ADDR_1"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_ADDR_2"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_ADDR_3"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_CITY"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_STATE"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_ZIPCODE"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_COUNTRY"	"nvarchar"	"YES"
"dbo"	"VENDOR_GROUP"	"MODIFY_DATE"	"datetime"	"YES"
"dbo"	"VENDOR_GROUP"	"REMIT_TO_COUNTRY_ID"	"nvarchar"	"YES"
