"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VENDOR_QUOTE"	"ROWID"	"int"	"NO"
"dbo"	"VENDOR_QUOTE"	"VENDOR_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_QUOTE"	"VENDOR_PART_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_QUOTE"	"MFG_NAME"	"nvarchar"	"YES"
"dbo"	"VENDOR_QUOTE"	"MFG_PART_ID"	"nvarchar"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_1"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_2"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_3"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_4"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_5"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_6"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_7"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_8"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_9"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"QTY_BREAK_10"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_1"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_2"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_3"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_4"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_5"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_6"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_7"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_8"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_9"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_10"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"DEFAULT_UNIT_PRICE"	"decimal"	"NO"
"dbo"	"VENDOR_QUOTE"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"VENDOR_QUOTE"	"QUOTE_DATE"	"datetime"	"YES"
"dbo"	"VENDOR_QUOTE"	"LONG_DESCRIPTION"	"image"	"YES"
"dbo"	"VENDOR_QUOTE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_1"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_2"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_3"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_4"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_5"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_6"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_7"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_8"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_9"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"UNIT_PRICE_CURR_10"	"decimal"	"YES"
"dbo"	"VENDOR_QUOTE"	"DEF_UNIT_PRICE_CURR"	"decimal"	"NO"
"dbo"	"VENDOR_QUOTE"	"CONTRACT_ID"	"nvarchar"	"YES"
"dbo"	"VENDOR_QUOTE"	"CONTRACT_LINE_NO"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"VENDOR_CLIN"	"nvarchar"	"YES"
"dbo"	"VENDOR_QUOTE"	"EFFECTIVE_DATE"	"datetime"	"YES"
"dbo"	"VENDOR_QUOTE"	"EXPIRATION_DATE"	"datetime"	"YES"
"dbo"	"VENDOR_QUOTE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_1"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_2"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_3"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_4"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_5"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_6"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_7"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_8"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_9"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"LEADTIME_10"	"smallint"	"YES"
"dbo"	"VENDOR_QUOTE"	"DEFAULT_LEADTIME"	"smallint"	"YES"
