"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VENDOR_SERVICE"	"ROWID"	"int"	"NO"
"dbo"	"VENDOR_SERVICE"	"SERVICE_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_SERVICE"	"VENDOR_ID"	"nvarchar"	"NO"
"dbo"	"VENDOR_SERVICE"	"VENDOR_SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"VENDOR_SERVICE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VENDOR_SERVICE"	"EST_COST_PER_UNIT"	"decimal"	"NO"
"dbo"	"VENDOR_SERVICE"	"EST_MIN_CHARGE"	"decimal"	"NO"
"dbo"	"VENDOR_SERVICE"	"EST_BASE_CHARGE"	"decimal"	"NO"
"dbo"	"VENDOR_SERVICE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"VENDOR_SERVICE"	"SCHEDULE_RANK"	"smallint"	"YES"
"dbo"	"VENDOR_SERVICE"	"RUN"	"decimal"	"YES"
"dbo"	"VENDOR_SERVICE"	"RUN_TYPE"	"nvarchar"	"YES"
"dbo"	"VENDOR_SERVICE"	"LOAD_SIZE_QTY"	"decimal"	"YES"
"dbo"	"VENDOR_SERVICE"	"TRANSIT_DAYS"	"decimal"	"YES"
"dbo"	"VENDOR_SERVICE"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"VENDOR_SERVICE"	"LONG_DESCRIPTION"	"image"	"YES"
"dbo"	"VENDOR_SERVICE"	"SITE_ID"	"nvarchar"	"NO"
