"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VMDI_CSH_LINE"	"ROWID"	"int"	"NO"
"dbo"	"VMDI_CSH_LINE"	"PENDING_ID"	"int"	"NO"
"dbo"	"VMDI_CSH_LINE"	"PENDING_FLAG"	"nchar"	"NO"
"dbo"	"VMDI_CSH_LINE"	"TRANSACTION_DATE"	"datetime"	"NO"
"dbo"	"VMDI_CSH_LINE"	"CUSTOMER_ID"	"nvarchar"	"NO"
"dbo"	"VMDI_CSH_LINE"	"CHECK_ID"	"nvarchar"	"NO"
"dbo"	"VMDI_CSH_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"VMDI_CSH_LINE"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"PACKLIST_ID"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"BOL_ID"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"ASN_ID"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"DISCOUNT_APPLIED"	"decimal"	"NO"
"dbo"	"VMDI_CSH_LINE"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VMDI_CSH_LINE"	"BUY_RATE"	"decimal"	"YES"
"dbo"	"VMDI_CSH_LINE"	"AMOUNT"	"decimal"	"YES"
"dbo"	"VMDI_CSH_LINE"	"GL_ACCOUNT_ID"	"nvarchar"	"YES"
"dbo"	"VMDI_CSH_LINE"	"SITE_ID"	"nvarchar"	"YES"
