"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_CUSTORD_DET"	"ROWID"	"int"	"NO"
"dbo"	"VR_CUSTORD_DET"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"VR_CUSTORD_DET"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"VR_CUSTORD_DET"	"STATUS"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"USER_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"CUSTOMER_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"CUSTOMER_NAME"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"TERRITORY"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"LINE_NO"	"smallint"	"YES"
"dbo"	"VR_CUSTORD_DET"	"DEL_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_CUSTORD_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"PART_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"SERVICE_CHARGE_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"ORDER_QTY"	"decimal"	"YES"
"dbo"	"VR_CUSTORD_DET"	"SELLING_UM"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"VR_CUSTORD_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"VR_CUSTORD_DET"	"AMOUNT_ORDERED"	"decimal"	"YES"
"dbo"	"VR_CUSTORD_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VR_CUSTORD_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"VR_CUSTORD_DET"	"SITE_ID"	"nvarchar"	"NO"
