"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_DATA_SOURCE"	"ROWID"	"int"	"NO"
"dbo"	"VR_DATA_SOURCE"	"ID"	"nvarchar"	"NO"
"dbo"	"VR_DATA_SOURCE"	"SOURCE_TYPE"	"int"	"NO"
"dbo"	"VR_DATA_SOURCE"	"SCOPE_TYPE"	"int"	"NO"
"dbo"	"VR_DATA_SOURCE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_DATA_SOURCE"	"USE_ANSI_92_JOIN"	"nchar"	"NO"
"dbo"	"VR_DATA_SOURCE"	"STATUS"	"nchar"	"NO"
"dbo"	"VR_DATA_SOURCE"	"FILTER_TEXT"	"nvarchar"	"YES"
"dbo"	"VR_DATA_SOURCE"	"CREATED_BY"	"nvarchar"	"YES"
"dbo"	"VR_DATA_SOURCE"	"LAST_MODIFIED_BY"	"nvarchar"	"YES"
"dbo"	"VR_DATA_SOURCE"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"VR_DATA_SOURCE"	"CREATE_DATE"	"datetime"	"NO"
