"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_GRID_CONFIG"	"ROWID"	"int"	"NO"
"dbo"	"VR_GRID_CONFIG"	"ID"	"nvarchar"	"NO"
"dbo"	"VR_GRID_CONFIG"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_GRID_CONFIG"	"SCOPE_TYPE"	"int"	"NO"
"dbo"	"VR_GRID_CONFIG"	"TITLE"	"nvarchar"	"YES"
"dbo"	"VR_GRID_CONFIG"	"DATA_SOURCE_ID"	"nvarchar"	"NO"
"dbo"	"VR_GRID_CONFIG"	"STATUS"	"nchar"	"NO"
"dbo"	"VR_GRID_CONFIG"	"GRID_TYPE"	"nchar"	"NO"
"dbo"	"VR_GRID_CONFIG"	"VALUE_COL_NAME"	"nvarchar"	"YES"
"dbo"	"VR_GRID_CONFIG"	"VALUE_AGGR_TYPE"	"int"	"NO"
"dbo"	"VR_GRID_CONFIG"	"DEF_TOP_N"	"int"	"NO"
"dbo"	"VR_GRID_CONFIG"	"DEF_PERIOD_TYPE"	"int"	"YES"
"dbo"	"VR_GRID_CONFIG"	"DEF_PERIODS"	"int"	"YES"
"dbo"	"VR_GRID_CONFIG"	"DEF_HORIZ_PERIODS"	"int"	"YES"
"dbo"	"VR_GRID_CONFIG"	"DEF_PERIOD_BEGIN"	"datetime"	"YES"
"dbo"	"VR_GRID_CONFIG"	"DEF_PERIOD_END"	"datetime"	"YES"
"dbo"	"VR_GRID_CONFIG"	"CREATED_BY"	"nvarchar"	"YES"
"dbo"	"VR_GRID_CONFIG"	"LAST_MODIFIED_BY"	"nvarchar"	"YES"
"dbo"	"VR_GRID_CONFIG"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"VR_GRID_CONFIG"	"CREATE_DATE"	"datetime"	"NO"
