"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_PAYABLE_HDR"	"ROWID"	"int"	"NO"
"dbo"	"VR_PAYABLE_HDR"	"VOUCHER_ID"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"INVOICE_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"PAYMENT_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"DUE_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"LAST_PAID_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"ZERO_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"POSTING_DATE"	"datetime"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"PAY_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"USER_PAY_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"TOTAL_AMOUNT"	"decimal"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"PAID_AMOUNT"	"decimal"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"DISCOUNT_TAKEN"	"decimal"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"VR_PAYABLE_HDR"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"VENDOR_NAME"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VR_PAYABLE_HDR"	"INVOICE_STYLE"	"nvarchar"	"YES"
