"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_RECEIVABLE_HDR"	"ROWID"	"int"	"NO"
"dbo"	"VR_RECEIVABLE_HDR"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"INVOICE_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"LAST_PAID_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"ZERO_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"POSTING_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"DUE_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"TOTAL_AMOUNT"	"decimal"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"PAID_AMOUNT"	"decimal"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"DISCOUNT_GIVEN"	"decimal"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"VR_RECEIVABLE_HDR"	"CUSTOMER_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"CUSTOMER_NAME"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VR_RECEIVABLE_HDR"	"INVOICE_STYLE"	"nvarchar"	"YES"
