"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_RECEIVER_DET"	"ROWID"	"int"	"NO"
"dbo"	"VR_RECEIVER_DET"	"RECEIVER_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"RECEIVER_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_RECEIVER_DET"	"RECEIVER_DEL_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_RECEIVER_DET"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVER_DET"	"USER_RECEIVED_QTY"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"AMOUNT_RECEIVED"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PURC_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PURC_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PURC_DEL_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_RECEIVER_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVER_DET"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"USER_ORDER_QTY"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"AMOUNT_ORDERED"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"FIXED_CHARGE"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"MINIMUM_CHARGE"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VR_RECEIVER_DET"	"ORDER_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"USER_ORDER_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"VENDOR_NAME"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"BUYER"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"PART_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"SERVICE_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_RECEIVER_DET"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"VR_RECEIVER_DET"	"RPT_DAYS_DIFF"	"smallint"	"YES"
