"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"VR_SHIPMENT_DET"	"ROWID"	"int"	"NO"
"dbo"	"VR_SHIPMENT_DET"	"PACKLIST_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SHIPPER_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SHIPPER_DEL_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SHIPPED_DATE"	"datetime"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"USER_ORDER_QTY"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"USER_SHIPPED_QTY"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SELLING_UM"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CUST_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CUST_DEL_LINE_NO"	"smallint"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"AMOUNT_ORDERED"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"AMOUNT_SHIPPED"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"ORDER_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"USER_ORDER_STATUS"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CUSTOMER_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"CUSTOMER_NAME"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"TERRITORY"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"PART_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SERVICE_CHARGE_ID"	"nvarchar"	"YES"
"dbo"	"VR_SHIPMENT_DET"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"VR_SHIPMENT_DET"	"RPT_DAYS_DIFF"	"smallint"	"YES"
