"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_ACCOUNT"	"ID"	"nvarchar"	"NO"
"dbo"	"V_ACCOUNT"	"ACCEPT_EARLY"	"smallint"	"NO"
"dbo"	"V_ACCOUNT"	"ADDR_1"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"ADDR_2"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"ADDR_3"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"ANN_SALES"	"nchar"	"YES"
"dbo"	"V_ACCOUNT"	"AREA_ID"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BACKORDER"	"smallint"	"NO"
"dbo"	"V_ACCOUNT"	"BILL_LANGUAGE_ID"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_ADDR_1"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_ADDR_2"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_ADDR_3"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_CITY"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_COUNTRY"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_NAME"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_STATE"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BILL_TO_ZIPCODE"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BRANCH_ID"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BUS_PHONE"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BUS_TYPE"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"BUS_UNIT_ID"	"nvarchar"	"YES"
"dbo"	"V_ACCOUNT"	"CARRIER_ID"	"nvarchar"	"YES"
