"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CALL"	"ID"	"nvarchar"	"NO"
"dbo"	"V_CALL"	"ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"CALLER_ID"	"nvarchar"	"NO"
"dbo"	"V_CALL"	"CLOSED_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"CONTR_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"V_CALL"	"FOLLOW_UP"	"smallint"	"NO"
"dbo"	"V_CALL"	"FOLLOW_UP_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"FOLLOW_UP_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"INVOICED"	"smallint"	"YES"
"dbo"	"V_CALL"	"OPEN_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"OWNER"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"STATUS"	"nvarchar"	"NO"
"dbo"	"V_CALL"	"TRACE_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"POSTING_CANDIDATE"	"smallint"	"NO"
"dbo"	"V_CALL"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_CALL"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_CALL"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_CALL"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CALL"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"COMMENTS"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_CALL"	"LOCKED"	"smallint"	"YES"
"dbo"	"V_CALL"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"CONTR_ITEM_NO"	"smallint"	"YES"
"dbo"	"V_CALL"	"LOOKUP_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T6"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T7"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T8"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T9"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T10"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T11"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T12"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T13"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T14"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T15"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T16"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T17"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T18"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T19"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T20"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T21"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T22"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T23"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T24"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T25"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T26"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T27"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T28"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T29"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_T30"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"USER_N6"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N7"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N8"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N9"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N10"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N11"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N12"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N13"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N14"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_N15"	"decimal"	"YES"
"dbo"	"V_CALL"	"USER_D4"	"datetime"	"YES"
"dbo"	"V_CALL"	"USER_D5"	"datetime"	"YES"
"dbo"	"V_CALL"	"FOLLOW_UP_EMP_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"FOLLOW_UP_DAYS"	"smallint"	"YES"
"dbo"	"V_CALL"	"FOLLOW_UP_AUTO_GEN"	"smallint"	"YES"
"dbo"	"V_CALL"	"CALL_BILLING_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"REV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"TERMS_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"TERMS_DISC_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"TERMS_DISC_DAYS"	"smallint"	"YES"
"dbo"	"V_CALL"	"TERMS_DISC_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"TERMS_NET_DATE"	"datetime"	"YES"
"dbo"	"V_CALL"	"TERMS_NET_DAYS"	"smallint"	"YES"
"dbo"	"V_CALL"	"TERMS_NET_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"FREIGHT_TERMS"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"FREE_ON_BOARD"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"VAT_ON_FIRST_INST"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"EOM_DUE_DATE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"TERMS_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"V_CALL"	"INST_PERIOD_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"DISCOUNT_CODE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"COMMISSION_PERCENT"	"decimal"	"YES"
"dbo"	"V_CALL"	"SLS_TAX_GRP_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"ADDR_ID"	"nvarchar"	"YES"
"dbo"	"V_CALL"	"TERMS_ID"	"nvarchar"	"YES"
