"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CONTACT"	"ID"	"nvarchar"	"NO"
"dbo"	"V_CONTACT"	"ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ADDR_1"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ADDR_2"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ADDR_3"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ADDR_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_ADDR_1"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_ADDR_2"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_ADDR_3"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_COUNTRY"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_CITY"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_STATE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ALT_ZIPCODE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"BIRTH_DATE"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"BUS_PHONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"CITY"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"CONTACT_NO"	"smallint"	"YES"
"dbo"	"V_CONTACT"	"COUNTRY"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"V_CONTACT"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"CUST_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"EMAIL_ADDR"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"FAX_PHONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"FIRST_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"FOLLOW_UP"	"smallint"	"NO"
"dbo"	"V_CONTACT"	"FOLLOW_UP_DATE"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"FOLLOW_UP_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"GENDER"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"HOME_PHONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"HONORIFIC"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"MIDDLE_INITIAL"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"LAST_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"MOBILE_PHONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"NICK_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"OTHER_PHONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"OWNER"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"REPORTS_TO_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"SEMINAR_INVITE"	"smallint"	"NO"
"dbo"	"V_CONTACT"	"SEND_NEWS"	"smallint"	"NO"
"dbo"	"V_CONTACT"	"SEND_PROMO"	"smallint"	"NO"
"dbo"	"V_CONTACT"	"SOC_SEC_NBR"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"STATE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"TIME_ZONE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"TITLE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"URL"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"WEB_PASSWORD"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"WEB_USER_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"ZIPCODE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"COMMENTS"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"INACTIVE_CONTACT"	"smallint"	"YES"
"dbo"	"V_CONTACT"	"ACCT_PRIMARY"	"smallint"	"YES"
"dbo"	"V_CONTACT"	"PROPER_NAME"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T6"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T7"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T8"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T9"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T10"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T11"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T12"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T13"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T14"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T15"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T16"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T17"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T18"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T19"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T20"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T21"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T22"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T23"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T24"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T25"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T26"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T27"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T28"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T29"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_T30"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_N6"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N7"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N8"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N9"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N10"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N11"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N12"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N13"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N14"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_N15"	"decimal"	"YES"
"dbo"	"V_CONTACT"	"USER_D4"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"USER_D5"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"AREA_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"BRANCH_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"BUS_UNIT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"DIVISION_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"RATING"	"smallint"	"YES"
"dbo"	"V_CONTACT"	"RATING_COMMENTS"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"SUB_AREA_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"TERRITORY"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"TYPE"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"DO_NOT_CONTACT"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"DO_NOT_EMAIL"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"DO_NOT_PHONE"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"DO_NOT_MAIL"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"DO_NOT_FAX"	"datetime"	"YES"
"dbo"	"V_CONTACT"	"COMMENTS_BIN"	"ntext"	"YES"
"dbo"	"V_CONTACT"	"PREF_CONTACT"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"SALUTATION"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"VE_CONT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_1"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_2"	"nvarchar"	"YES"
"dbo"	"V_CONTACT"	"USER_3"	"nvarchar"	"YES"
