"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CONTR_BILLING"	"CONTR_ID"	"nvarchar"	"NO"
"dbo"	"V_CONTR_BILLING"	"EVENT_SEQ_NO"	"smallint"	"NO"
"dbo"	"V_CONTR_BILLING"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"BILL_AMOUNT"	"decimal"	"YES"
"dbo"	"V_CONTR_BILLING"	"BILL_PERCENT"	"decimal"	"YES"
"dbo"	"V_CONTR_BILLING"	"EVENT_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_BILLING"	"REV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"SLS_TAX_GRP_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"COMMISSION_PERCENT"	"decimal"	"YES"
"dbo"	"V_CONTR_BILLING"	"DISCOUNT_PERCENT"	"decimal"	"YES"
"dbo"	"V_CONTR_BILLING"	"ACT_AMOUNT"	"decimal"	"YES"
"dbo"	"V_CONTR_BILLING"	"TRIGGERED_FLAG"	"smallint"	"YES"
"dbo"	"V_CONTR_BILLING"	"TRIGGERED_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_BILLING"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_BILLING"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CONTR_BILLING"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"RECEIVABLE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"BILLING_BASIS"	"nvarchar"	"YES"
"dbo"	"V_CONTR_BILLING"	"REVENUE_STATUS"	"nvarchar"	"YES"
