"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CONTR_ITEM"	"CONTR_ID"	"nvarchar"	"NO"
"dbo"	"V_CONTR_ITEM"	"ITEM_NO"	"smallint"	"NO"
"dbo"	"V_CONTR_ITEM"	"AUTO_GENERATE"	"smallint"	"NO"
"dbo"	"V_CONTR_ITEM"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"EXCLUDED"	"smallint"	"NO"
"dbo"	"V_CONTR_ITEM"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"QTY"	"decimal"	"NO"
"dbo"	"V_CONTR_ITEM"	"RESOURCE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"SRVC_CHARGE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"SRVC_UM"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"TRACE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"WORKORDER_BASE_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"WORKORDER_LOT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"WORKORDER_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"WORKORDER_SUB_ID"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"WORKORDER_TYPE"	"nchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"SRVC_CODE"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"SRVC_TYPE"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"START_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"END_DATE"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"STATUS"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T6"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T7"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T8"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T9"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T10"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T11"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T12"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T13"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T14"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T15"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T16"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T17"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T18"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T19"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T20"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T21"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T22"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T23"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T24"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T25"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T26"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T27"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T28"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T29"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_T30"	"nvarchar"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N6"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N7"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N8"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N9"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N10"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N11"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N12"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N13"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N14"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_N15"	"decimal"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_D4"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"USER_D5"	"datetime"	"YES"
"dbo"	"V_CONTR_ITEM"	"SITE_ID"	"nvarchar"	"NO"
