"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CUSTOM"	"ID"	"nvarchar"	"NO"
"dbo"	"V_CUSTOM"	"BUS_TYPE"	"smallint"	"NO"
"dbo"	"V_CUSTOM"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"COMMENTS"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CONTACT_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"TASK_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CAL_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"OPTY_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"QUOTE_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"EST_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CALL_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CONTR_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"SRVC_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CUSTOM_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"ADDR_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"COMPET_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T6"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T7"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T8"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T9"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T10"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T11"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T12"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T13"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T14"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T15"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T16"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T17"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T18"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T19"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T20"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T21"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T22"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T23"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T24"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T25"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T26"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T27"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T28"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T29"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_T30"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N6"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N7"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N8"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N9"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N10"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N11"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N12"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N13"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N14"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_N15"	"decimal"	"YES"
"dbo"	"V_CUSTOM"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"USER_D4"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"USER_D5"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"OWNER"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_CUSTOM"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM"	"COMMENTS_BIN"	"ntext"	"YES"
"dbo"	"V_CUSTOM"	"PACKLIST_ID"	"nvarchar"	"YES"
