"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_CUSTOM_JUNC"	"ID_1"	"nvarchar"	"NO"
"dbo"	"V_CUSTOM_JUNC"	"BUS_TYPE_1"	"smallint"	"NO"
"dbo"	"V_CUSTOM_JUNC"	"ID_2"	"nvarchar"	"NO"
"dbo"	"V_CUSTOM_JUNC"	"BUS_TYPE_2"	"smallint"	"NO"
"dbo"	"V_CUSTOM_JUNC"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T6"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T7"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T8"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T9"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T10"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T11"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T12"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T13"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T14"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_T15"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_CUSTOM_JUNC"	"CREATE_DATE"	"datetime"	"YES"
