"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_EMPLOYEE"	"ID"	"nvarchar"	"NO"
"dbo"	"V_EMPLOYEE"	"ACCT_MANAGER"	"smallint"	"NO"
"dbo"	"V_EMPLOYEE"	"SRVC_AREA_ID"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"SRVC_SUB_AREA_ID"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"EMAIL_ADDR"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_EMPLOYEE"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_EMPLOYEE"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_EMPLOYEE"	"EMPLOYEE_COUNTRY_ID"	"nvarchar"	"YES"
