"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_FILTER"	"ID"	"nvarchar"	"NO"
"dbo"	"V_FILTER"	"BUS_OBJ_TYPE"	"smallint"	"NO"
"dbo"	"V_FILTER"	"DEFAULT_FILTER"	"smallint"	"NO"
"dbo"	"V_FILTER"	"NAME"	"nvarchar"	"NO"
"dbo"	"V_FILTER"	"OWNER"	"nvarchar"	"YES"
"dbo"	"V_FILTER"	"SCOPE"	"nchar"	"YES"
"dbo"	"V_FILTER"	"BITS_LENGTH"	"int"	"NO"
"dbo"	"V_FILTER"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_FILTER"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_FILTER"	"BITS"	"image"	"YES"
"dbo"	"V_FILTER"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_FILTER"	"CREATE_DATE"	"datetime"	"YES"
