"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_GRID_LAYOUT"	"BUS_TYPE"	"smallint"	"NO"
"dbo"	"V_GRID_LAYOUT"	"FIELD_NAME"	"nvarchar"	"NO"
"dbo"	"V_GRID_LAYOUT"	"TABLE_NAME"	"nvarchar"	"NO"
"dbo"	"V_GRID_LAYOUT"	"CAPTION"	"nvarchar"	"YES"
"dbo"	"V_GRID_LAYOUT"	"DATATYPE"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"FORMAT"	"nvarchar"	"YES"
"dbo"	"V_GRID_LAYOUT"	"HIDE"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"FIELD_LENGTH"	"int"	"YES"
"dbo"	"V_GRID_LAYOUT"	"LOCKED"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"FIELD_POSITION"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"REQUIRED"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"UDF_ENABLE"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"USER_REQUIRED"	"smallint"	"YES"
"dbo"	"V_GRID_LAYOUT"	"WIDTH"	"int"	"YES"
"dbo"	"V_GRID_LAYOUT"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_GRID_LAYOUT"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_GRID_LAYOUT"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_GRID_LAYOUT"	"CREATE_DATE"	"datetime"	"YES"
