"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_HIST_DATA"	"BUS_TYPE"	"smallint"	"YES"
"dbo"	"V_HIST_DATA"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"V_HIST_DATA"	"TABLE_NAME"	"nvarchar"	"NO"
"dbo"	"V_HIST_DATA"	"FIELD_NAME"	"nvarchar"	"NO"
"dbo"	"V_HIST_DATA"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"V_HIST_DATA"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_HIST_DATA"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_HIST_DATA"	"PRIMARY_KEY"	"nvarchar"	"YES"
"dbo"	"V_HIST_DATA"	"ACTION"	"nvarchar"	"YES"
"dbo"	"V_HIST_DATA"	"OLD_VALUE"	"nvarchar"	"YES"
"dbo"	"V_HIST_DATA"	"NEW_VALUE"	"nvarchar"	"YES"
