"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_OPTY_PLAN"	"OPTY_ID"	"nvarchar"	"NO"
"dbo"	"V_OPTY_PLAN"	"STAGE_ID"	"nvarchar"	"NO"
"dbo"	"V_OPTY_PLAN"	"LINE_NO"	"int"	"NO"
"dbo"	"V_OPTY_PLAN"	"SCHED_COMP_DATE"	"datetime"	"YES"
"dbo"	"V_OPTY_PLAN"	"START_DATE"	"datetime"	"YES"
"dbo"	"V_OPTY_PLAN"	"ACTUAL_COMP_DATE"	"datetime"	"YES"
"dbo"	"V_OPTY_PLAN"	"COMMENTS"	"nvarchar"	"YES"
"dbo"	"V_OPTY_PLAN"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_OPTY_PLAN"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_OPTY_PLAN"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_OPTY_PLAN"	"TASK_ID"	"nvarchar"	"YES"
"dbo"	"V_OPTY_PLAN"	"CREATE_DATE"	"datetime"	"YES"
