"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_QUOTA"	"REPORTING_TYPE"	"nvarchar"	"NO"
"dbo"	"V_QUOTA"	"REPORTING_ID"	"nvarchar"	"NO"
"dbo"	"V_QUOTA"	"STAGE_ID"	"nvarchar"	"NO"
"dbo"	"V_QUOTA"	"YEAR"	"int"	"NO"
"dbo"	"V_QUOTA"	"MONTH"	"int"	"NO"
"dbo"	"V_QUOTA"	"QUOTA_AMOUNT"	"decimal"	"YES"
"dbo"	"V_QUOTA"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_QUOTA"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_QUOTA"	"CREATOR"	"nvarchar"	"YES"
"dbo"	"V_QUOTA"	"CREATE_DATE"	"datetime"	"YES"
