"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_RECV_DIST"	"ID"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"ITEM_TYPE"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"ITEM_TYPE_ID"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"DIST_NBR"	"smallint"	"NO"
"dbo"	"V_RECV_DIST"	"AMOUNT"	"decimal"	"NO"
"dbo"	"V_RECV_DIST"	"AMOUNT_TYPE"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"V_RECV_DIST"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"V_RECV_DIST"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"V_RECV_DIST"	"INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"V_RECV_DIST"	"NATIVE"	"smallint"	"NO"
"dbo"	"V_RECV_DIST"	"NATIVE_AMT"	"decimal"	"YES"
"dbo"	"V_RECV_DIST"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"V_RECV_DIST"	"POSTING_STATUS"	"smallint"	"NO"
"dbo"	"V_RECV_DIST"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_RECV_DIST"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_RECV_DIST"	"QTY"	"decimal"	"YES"
