"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"V_SRVCORD_OPER"	"SRVC_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"LINE_NO"	"smallint"	"NO"
"dbo"	"V_SRVCORD_OPER"	"ACT_END_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"ACT_START_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"BILL"	"smallint"	"NO"
"dbo"	"V_SRVCORD_OPER"	"COMMISSION_PERCENT"	"decimal"	"NO"
"dbo"	"V_SRVCORD_OPER"	"CONTR_ITEM_NO"	"smallint"	"YES"
"dbo"	"V_SRVCORD_OPER"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"DISCOUNT_PERCENT"	"decimal"	"NO"
"dbo"	"V_SRVCORD_OPER"	"EMP_ID"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"EST_END_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"EST_START_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"LABOR_RATE"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"REV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"EST_AMOUNT"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"EST_HOURS"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"ACT_AMOUNT"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"RESOURCE_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"REQ_START_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"REQ_END_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_OP_SEQ"	"smallint"	"NO"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"V_SRVCORD_OPER"	"LAST_MODIFIED"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"LAST_USER"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"STATUS"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"POSTING_CANDIDATE"	"smallint"	"YES"
"dbo"	"V_SRVCORD_OPER"	"ACT_HOURS"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"CREATE_DATE"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_T1"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_T2"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_T3"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_T4"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_T5"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_D1"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_D2"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_D3"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_N1"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_N2"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_N3"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_N4"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"USER_N5"	"decimal"	"YES"
"dbo"	"V_SRVCORD_OPER"	"START_TIME"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"END_TIME"	"datetime"	"YES"
"dbo"	"V_SRVCORD_OPER"	"SLS_TAX_GRP_ID"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"V_SRVCORD_OPER"	"SITE_ID"	"nvarchar"	"NO"
