"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WBS"	"ROWID"	"int"	"NO"
"dbo"	"WBS"	"CODE"	"nvarchar"	"NO"
"dbo"	"WBS"	"PROJECT_ID"	"nvarchar"	"NO"
"dbo"	"WBS"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"WBS"	"STATUS"	"nchar"	"YES"
"dbo"	"WBS"	"BILLABLE"	"nchar"	"YES"
"dbo"	"WBS"	"CLIN"	"nvarchar"	"YES"
"dbo"	"WBS"	"CWBS"	"nvarchar"	"YES"
"dbo"	"WBS"	"CDRL"	"nvarchar"	"YES"
"dbo"	"WBS"	"DEF_DEPARTMENT_ID"	"nvarchar"	"YES"
"dbo"	"WBS"	"TRANSFER_COSTS"	"nchar"	"YES"
"dbo"	"WBS"	"STATUS_EFF_DATE"	"datetime"	"NO"
