"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WIP_PAYB_DETAIL"	"ROWID"	"int"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"DIST_NO"	"smallint"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"VOUCHER_ID"	"nvarchar"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"VOUCHER_LINE_NO"	"smallint"	"NO"
"dbo"	"WIP_PAYB_DETAIL"	"ACT_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"WIP_PAYB_DETAIL"	"ACT_LABOR_COST"	"decimal"	"YES"
"dbo"	"WIP_PAYB_DETAIL"	"ACT_BURDEN_COST"	"decimal"	"YES"
"dbo"	"WIP_PAYB_DETAIL"	"ACT_SERVICE_COST"	"decimal"	"YES"
"dbo"	"WIP_PAYB_DETAIL"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"WIP_PAYB_DETAIL"	"CURRENCY_ID"	"nvarchar"	"NO"
