"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WORKFLOW"	"ROWID"	"int"	"NO"
"dbo"	"WORKFLOW"	"TYPE"	"nvarchar"	"NO"
"dbo"	"WORKFLOW"	"APPLICATION_AREA"	"nvarchar"	"NO"
"dbo"	"WORKFLOW"	"TEMPLATE_NAME"	"nvarchar"	"NO"
"dbo"	"WORKFLOW"	"REFERENCE"	"nvarchar"	"NO"
"dbo"	"WORKFLOW"	"STATUS"	"nvarchar"	"YES"
"dbo"	"WORKFLOW"	"DBTABLE"	"nvarchar"	"YES"
"dbo"	"WORKFLOW"	"EVALUATE_ON_TIMER"	"nchar"	"YES"
"dbo"	"WORKFLOW"	"DIAGRAM"	"image"	"YES"
"dbo"	"WORKFLOW"	"curr_step_name"	"nvarchar"	"YES"
"dbo"	"WORKFLOW"	"curr_step_id"	"nvarchar"	"YES"
"dbo"	"WORKFLOW"	"curr_approv_user"	"nvarchar"	"YES"
"dbo"	"WORKFLOW"	"curr_step_start_on"	"datetime"	"YES"
"dbo"	"WORKFLOW"	"curr_step_last_notified"	"datetime"	"YES"
"dbo"	"WORKFLOW"	"STATUS_EFF_DATE"	"datetime"	"NO"
