"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WORKORDER_AUDIT"	"ROWID"	"int"	"NO"
"dbo"	"WORKORDER_AUDIT"	"SCHEDULE_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"PASS_NO"	"int"	"NO"
"dbo"	"WORKORDER_AUDIT"	"PASS_DIRECTION"	"nchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"PASS_RESULT"	"nchar"	"NO"
"dbo"	"WORKORDER_AUDIT"	"START_DATE"	"datetime"	"YES"
"dbo"	"WORKORDER_AUDIT"	"FINISH_DATE"	"datetime"	"YES"
"dbo"	"WORKORDER_AUDIT"	"COULD_START_FINISH"	"datetime"	"YES"
"dbo"	"WORKORDER_AUDIT"	"SCHEDULE_RANK"	"int"	"YES"
