"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WORKORDER_SUMMARY"	"ROWID"	"int"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"SPID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"EST_ATL_MAT_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"EST_ATL_LAB_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"EST_ATL_BUR_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"EST_ATL_SER_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"REM_ATL_MAT_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"REM_ATL_LAB_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"REM_ATL_BUR_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"REM_ATL_SER_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"ACT_ATL_MAT_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"ACT_ATL_LAB_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"ACT_ATL_BUR_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"ACT_ATL_SER_COST"	"decimal"	"NO"
"dbo"	"WORKORDER_SUMMARY"	"STATUS"	"nchar"	"YES"
