"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WORKORD_MILESTONE"	"ROWID"	"int"	"NO"
"dbo"	"WORKORD_MILESTONE"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"MILESTONE_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"WORKORD_MILESTONE"	"MAT_GL_ACCT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"LAB_GL_ACCT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"BUR_GL_ACCT_ID"	"nvarchar"	"NO"
"dbo"	"WORKORD_MILESTONE"	"SER_GL_ACCT_ID"	"nvarchar"	"NO"
