"Name","AutomationId","ClassName","ControlType","IsOffscreen","BoundingRect"
"","32753","Gupta:StatusBar","ControlType.Pane","False","86,704,997,19"
"","59648","Gupta:Form","ControlType.Pane","False","85,170,998,534"
"ProfUIS-NCSB_ScrollContainer","32766","ProfUIS-NCSB_ScrollContainer","ControlType.Pane","False","610,215,17,112"
"","32766","ScrollBar","ControlType.Pane","False","610,215,17,112"
"","8207","Edit","ControlType.Pane","False","423,171,647,3"
"MTM2","4097","ComboBox","ControlType.Pane","False","237,181,102,22"
"MTM2","1001","Edit","ControlType.Pane","False","240,184,79,16"
"Site ID","4098","Static","ControlType.Pane","False","120,186,109,14"
"r","4099","Button","ControlType.Pane","False","338,204,24,22"
"Order ID","4100","Static","ControlType.Pane","False","120,207,109,14"
"","4101","Button","ControlType.Pane","False","361,204,24,22"
"","4102","Button","ControlType.Pane","False","386,204,24,22"
"PO-061514","4103","Edit","ControlType.Pane","False","237,204,102,21"
"","4104","Button","ControlType.Pane","False","229,212,12,13"
"c","4105","Button","ControlType.Pane","False","338,227,24,22"
"Receiver ID","4106","Static","ControlType.Pane","False","120,229,109,14"
"","4107","Button","ControlType.Pane","False","361,227,24,22"
"","4108","Button","ControlType.Pane","False","386,227,24,22"
"","4109","Edit","ControlType.Pane","False","237,226,102,21"
"c","4110","Button","ControlType.Pane","False","338,249,24,22"
"Service Dispatch ID","4111","Static","ControlType.Pane","False","120,252,109,14"
"","4114","Edit","ControlType.Pane","False","237,248,102,21"
"Act Recv Date","4116","Static","ControlType.Pane","False","120,273,109,14"
"3/8/2026","4117","Edit","ControlType.Pane","False","237,270,102,21"
"","4118","GuptaCC::69ea0000:8:VMCalendarButton","ControlType.Pane","False","338,271,21,19"
"","89601112","ATL:69EF40A0","ControlType.Pane","False","338,271,21,19"
"Receive on","4119","Static","ControlType.Pane","False","120,294,109,14"
"3/8/2025","4120","Edit","ControlType.Pane","False","237,292,102,21"
"Promise Delivery Date","4121","Static","ControlType.Pane","False","92,317,137,14"
"3/8/2025","4122","Edit","ControlType.Pane","False","237,314,102,21"
"Promise Ship Date","4123","Static","ControlType.Pane","False","92,339,137,14"
"","4124","Edit","ControlType.Pane","False","237,336,102,21"
"Bill of Lading ID","4125","Static","ControlType.Pane","False","92,361,137,14"
"","4126","Edit","ControlType.Pane","False","237,357,102,21"
"Vendor Packlist ID","4127","Static","ControlType.Pane","False","92,383,137,14"
"","4128","Edit","ControlType.Pane","False","237,380,102,21"
"Vendor Packlist Date","4129","Static","ControlType.Pane","False","92,405,137,14"
"","4130","Edit","ControlType.Pane","False","237,402,102,21"
"","4131","GuptaCC::69ea0000:8:VMCalendarButton","ControlType.Pane","False","338,403,21,19"
"","89599288","ATL:69EF40A0","ControlType.Pane","False","338,403,21,19"
"Vendor Freight Bill ID","4132","Static","ControlType.Pane","False","92,427,137,14"
"","4133","Edit","ControlType.Pane","False","237,424,102,21"
"","4134","ListBox","ControlType.Pane","False","433,213,196,116"
"Buyer","4135","Static","ControlType.Pane","False","642,214,51,14"
"SWITT","4136","Edit","ControlType.Pane","False","701,211,101,21"
"FOB","4137","Static","ControlType.Pane","False","642,236,51,14"
"SC","4138","ComboBox","ControlType.Pane","False","701,233,101,22"
"SC","1001","Edit","ControlType.Pane","False","704,236,78,16"
"Ship via","4139","Static","ControlType.Pane","False","642,258,51,14"
"","4140","ComboBox","ControlType.Pane","False","701,255,101,22"
"","1001","Edit","ControlType.Pane","False","704,258,78,16"
"Carrier ID","4141","Static","ControlType.Pane","False","642,280,51,14"
"","4142","ComboBox","ControlType.Pane","False","701,277,101,22"
"","1001","Edit","ControlType.Pane","False","704,280,78,16"
"","4146","Gupta:ChildTable","ControlType.Pane","False","96,451,977,239"
"","1024","Gupta:ChildTable:ListClip","ControlType.Pane","False","488,489,59,16"
"","32791","Edit","ControlType.Pane","False","488,489,59,14"
"Closed","4149","Edit","ControlType.Pane","False","701,346,101,19"
"US Dollar","4161","Edit","ControlType.Pane","False","701,324,101,21"
"","8205","Gupta:CExtTabPageContainerWnd","ControlType.Pane","False","423,171,647,30"
"","256","ProfUIS-TabWindow","ControlType.Pane","False","423,171,647,32"
"","8206","Gupta:Frame","ControlType.Pane","False","423,193,647,241"
"","4284","Gupta:Pict","ControlType.Pane","False","231,270,9,12"
"","4283","Gupta:Pict","ControlType.Pane","False","231,203,9,12"
"","59419","ProfUIS-DockBar","ControlType.Pane","False","86,109,997,25"
"","59397","ProfUIS-ControlBar","ControlType.Pane","False","86,109,997,25"
